"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,43.7763703285423,179.735664501132,95.8009191792537,57.233521826369,96.0168853390963,1633.85792758558,1397.5,1240.43257543053,1523.5,1375,1368,1373.5,72.2755481458565
"2002/2003",2003,120,120,100,37.8084088065325,144.506971571278,110.46864968136,55.9834754786343,99.5025318237854,1343.09708797473,1030.5,801.918020081948,1243.5,932,1267,932,67.4046763540017
"2003/2004",2004,120,120,100,47.760772663238,198.55362763094,90.2650847439818,74.4944875631654,105.855273624625,1748.02145436634,1385.5,1118.65261774675,1653,1274.5,1644,1274.5,76.5919653872783
"2004/2005",2005,121,121,100,44.0621261880748,208.822286204291,82.9947696517019,64.4061263092681,102.9432740544,1810.58232166276,1492.5,1290.57591154947,1702,1415.5,1585,1410,80.3383283633717
"2005/2006",2006,120,120,100,44.4229613608212,183.018811395845,96.90335174121,62.6334292622201,99.2900821802974,1611.50847108271,1271.5,1094.61863860764,1481.5,1190.5,1426,1190,74.1329273633316
"2006/2007",2007,120,120,100,50.2123086421296,216.556331196268,90.9648548311025,67.081077767105,101.446829370912,1591.65153877725,1260,1100.78322152322,1462.5,1197,1357,1197,72.5443295878171
"2007/2008",2008,120,120,100,35.3393022086028,145.546554646747,112.249465737857,56.8700917047946,101.180306532705,1276.26098827496,907,716.913552888063,1154,811,1163,811,59.9864890147488
"2008/2009",2009,121,121,100,49.1049576225606,232.73318972977,86.9729101122512,65.8847931690539,100.040810793267,1734.70175008093,1443,1226.46753879181,1639.5,1340,1566,1334.5,77.5017132336488
"2009/2010",2010,120,120,100,49.1002616665229,197.382743423061,92.7623075304101,73.3679109826176,105.189262687831,1731.79084646359,1338,1064.14646708206,1629.5,1220,1592,1219.5,73.8006012638486
"2010/2011",2011,120,120,100,50.7110725702414,195.305551075044,95.0472494777225,72.8588078732719,104.126376105771,1714.03458612447,1326.5,1092.39554234572,1596.5,1237,1608,1237,72.1100245137266
"2011/2012",2012,120,120,100,34.2824446393779,139.179996902722,112.803339446547,50.3409093168003,95.4460539888295,1293.8911981359,1048,876.165958171963,1196,965.5,1135,962.5,65.6005086737759
"2012/2013",2013,121,121,100,44.744359221062,187.483014540084,95.0297909592395,69.1915914602989,105.008240709779,1627.5298698601,1241,1019.43845082116,1495,1142,1479,1140,74.3811895996016
"2013/2014",2014,120,120,100,31.0496174625543,104.371898818077,116.800612201858,43.2581227020919,93.183455927214,1192.46426773064,943.5,851.281782161604,1076.5,913.5,1027,913.5,61.9313437660098
"2014/2015",2015,120,120,100,40.6978189164097,179.460325618137,96.6002163352234,61.6413479240992,99.7515549159703,1606.92035331974,1251,1057.50628377704,1488,1167.5,1411,1160.5,72.2108897327832
"2015/2016",2016,120,120,100,36.6198562554555,141.080465573086,99.5202150573294,55.9665580502561,99.3920725414363,1469.49786982871,1105,982.082290842705,1345.5,1047.5,1273,1047.5,71.1818246509929
"2016/2017",2017,121,121,100,41.5378826949271,176.324173316861,92.8777657489601,57.6977888166571,99.3405896967566,1552.85819812214,1265.5,1080.93282682477,1432,1193,1325,1188.5,72.9025213158229
"2017/2018",2018,120,120,100,31.5651738987375,131.432383839155,110.226676456716,51.5762652762164,97.9120658748995,1310.99051341625,1012.5,858.068502834381,1209,944.5,1110,944.5,63.4142570916497
"2018/2019",2019,120,120,100,36.2871703896415,133.769786016173,104.522581826321,56.301763430222,100.494212439845,1469.44712761582,1147.5,944.843350400793,1379.5,1072.5,1274,1069.5,67.0791892575758
"2019/2020",2020,120,120,100,50.2470023784499,202.987008298163,85.8648855062197,66.9287386107321,100.517028149788,1786.37851753725,1490.5,1260.88728115041,1663,1430,1543,1421,77.7752792887668
"2020/2021",2021,121,121,100,32.9255328583094,148.624048748854,105.029243812942,58.1060109280867,102.870200061232,1369.06546384873,1013.5,828.012528818799,1252,923.5,1230,923.5,68.2419322031983
"2021/2022",2022,120,120,100,25.5746359461922,125.631101375522,102.807548385093,43.3140323607769,95.72566359605,1220.06556465759,908,789.924112730376,1087.5,867,991,841,64.671241754239
"2022/2023",2023,120,120,100,40.689980639666,165.291015776392,96.5524998048556,61.7480250823766,102.975518962758,1574.12219172364,1212,1014.21946583095,1463.5,1131.5,1380,1131.5,67.4092556232731
"2023/2024",2024,120,120,100,48.2726434694868,223.155733060269,80.9647451859289,66.5828718571712,101.295484286321,1823.74571536985,1505,1290.55600035724,1699.5,1437.5,1551,1431,78.3942305589999
"2024/2025",2025,121,121,100,44.7026992231309,176.620889477879,98.3075466352403,69.1301495923292,104.64022758747,1647.31018276236,1243.5,1018.49841108486,1532.5,1141,1505,1141,74.3643248367471
"2025/2026",2026,120,120,100,25.8281426650951,124.115381283642,125.337163540189,40.9754908357976,92.8937786635619,974.54091160417,693.5,602.298452522151,887,648,842,648,55.0155081522093
"2026/2027",2027,120,120,100,49.0554398174249,197.622005533488,86.295819232034,67.6982952394022,102.650974220866,1755.55898443465,1422,1210.40306597815,1641.5,1343,1538,1343,77.5125437865086
"2027/2028",2028,120,120,100,28.3956216426012,105.613435559824,116.166667334748,52.2332641636552,101.869107820111,1192.37348979968,804,618.259187896518,1086.5,699,1133,699,57.105185070368
"2028/2029",2029,121,121,100,37.3460681466837,179.466014971247,94.043611755534,58.0709441078068,100.747024247388,1469.53780539765,1136,982.910845636328,1377.5,1066,1247,1066,71.7735217241711
"2029/2030",2030,120,120,100,36.6471104544719,168.182417348744,102.768571416194,53.3023939991558,98.19969459935,1437.01079934866,1137.5,999.211645669086,1323,1077.5,1257,1074.5,71.3852922661608
"2030/2031",2031,120,120,100,40.2449946712387,182.705220006604,93.3115796131918,65.7264633078282,102.847921502483,1558.48684031915,1217.5,1006.14920845499,1455,1112,1416,1110.5,75.4671673041585
"2031/2032",2032,120,120,100,52.4117905395984,221.446105719229,85.7874117425373,71.2806612563525,102.576682698865,1793.33807322325,1450.5,1246.74294296341,1662.5,1356.5,1603,1356,79.5858421220855
"2032/2033",2033,121,121,100,34.2992502936149,131.181374268652,113.090141098831,54.850826555642,100.499768519559,1296.94028760966,969.5,785.791477213534,1181.5,885.5,1175,885.5,65.0053154385078
"2033/2034",2034,120,120,100,31.8145463114503,154.111807161117,106.548546218653,50.992906679593,97.5467932806202,1277.20399140957,965,833.750252925533,1160.5,921.5,1045,914.5,65.3538951851006
"2034/2035",2035,120,120,100,30.3872351449132,132.675493491647,107.232364096278,48.3317006085949,96.0532554436612,1308.75225030867,1008.5,869.854971401743,1179.5,949,1098,932.5,64.2427700692606
"2035/2036",2036,120,120,100,44.9095821573978,176.99661356773,102.504352914249,63.5559624476115,99.5162533266543,1583.52965331594,1268,1083.90964973739,1466.5,1200.5,1419,1200,72.2366168744011
